調查日期,國道編號方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/25,N0010_SB,035K+000,35000,292298.279,2772950.472,121.4192594,25.06416757,柔性,28.082,28.082,7,3.789,3.758,3.777,0.0,0.0,0.0,無,0.0,有,0.959,無,0.773,輔助車道,3.894,輔助車道,3.592,輔助車道,3.762,無,3594.54,0.012,-0.018
2022/4/25,N0010_SB,035K+050,35050,292263.064,2772915.153,121.4189093,25.0638497,柔性,19.903,19.903,5,3.774,3.69,3.834,0.0,0.0,0.0,有,1.08,有,1.133,無,0.0,輔助車道,3.797,輔助車道,3.676,無,0.0,無,54828.94,0.012,-0.016
2022/4/25,N0010_SB,035K+100,35100,292213.765,2772898.114,121.4184201,25.06369724,柔性,20.144,20.144,5,3.764,3.719,3.776,0.0,0.0,0.0,有,2.572,有,1.498,無,0.0,輔助車道,3.683,輔助車道,3.705,無,0.0,無,7006.821,0.012,-0.017
2022/4/25,N0010_SB,035K+150,35150,292179.686,2772860.016,121.4180812,25.06335425,柔性,22.768,22.768,5,3.77,3.76,3.644,0.0,0.0,0.0,無,0.0,有,2.007,無,2.096,輔助車道,3.758,輔助車道,3.734,無,0.0,無,3831.861,0.011,-0.013
2022/4/25,N0010_SB,035K+200,35200,292138.625,2772832.075,121.4176733,25.06310314,柔性,22.873,22.873,5,3.734,3.763,3.648,0.0,0.0,0.0,無,0.0,有,2.156,無,1.971,輔助車道,3.823,輔助車道,3.78,無,0.0,無,1136.726,0.012,-0.008
2022/4/25,N0010_SB,035K+250,35250,292090.506,2772799.021,121.4171954,25.06280606,柔性,22.929,22.929,5,3.807,3.764,3.733,0.0,0.0,0.0,無,0.0,有,2.021,無,2.051,輔助車道,3.831,輔助車道,3.722,無,0.0,無,962.381,0.013,-0.007
2022/4/25,N0010_SB,035K+300,35300,292044.621,2772767.936,121.4167396,25.06252671,柔性,13.275,23.153,3,3.77,3.748,3.725,0.0,0.0,0.0,有,0.283,有,2.032,無,0.0,無,0.0,無,0.0,無,0.0,無,74064.79,0.012,-0.014
2022/4/25,N0010_SB,035K+350,35350,292009.107,2772731.638,121.4163865,25.06219999,柔性,13.312,25.107,3,3.783,3.736,3.766,0.0,0.0,0.0,有,1.219,有,2.027,無,0.0,無,0.0,無,0.0,無,0.0,無,131636.3,0.011,-0.011
2022/4/25,N0010_SB,035K+400,35400,291959.947,2772715.289,121.4158988,25.06205376,柔性,13.335,27.66,3,3.767,3.742,3.759,0.0,0.0,0.0,有,2.252,有,2.067,無,0.0,無,0.0,無,0.0,無,0.0,無,24899.07,0.007,-0.001
2022/4/25,N0010_SB,035K+450,35450,291934.875,2772680.823,121.4156492,25.06174329,柔性,13.387,27.794,3,3.736,3.755,3.775,0.0,0.0,0.0,有,2.585,有,2.121,無,0.0,無,0.0,無,0.0,無,0.0,無,128824.0,0.001,0.002
2022/4/25,N0010_SB,035K+500,35500,291909.534,2772646.752,121.415397,25.0614364,柔性,13.349,29.707,3,3.713,3.781,3.776,0.0,0.0,0.0,有,2.973,有,2.078,無,0.0,無,0.0,無,0.0,無,0.0,無,68387.45,-0.003,0.0
2022/4/25,N0010_SB,035K+550,35550,291859.946,2772633.145,121.4149051,25.06131493,柔性,16.419,16.419,3,3.773,3.736,3.799,0.0,0.0,0.0,無,0.0,有,2.053,有,3.058,無,0.0,無,0.0,無,0.0,無,39652.04,0.005,-0.021
